[2024-08-22 09:33:11,065][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-11-064885.log
[2024-08-22 09:33:11,068][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-11-066545.html
[2024-08-22 09:33:12,158][basic_search][INFO][generic_smbo.py:310] Iter 22, objectives: [4064504.0].
[2024-08-22 09:33:12,198][basic_search][INFO][generic_smbo.py:310] Iter 23, objectives: [3639659.0].
[2024-08-22 09:33:12,243][basic_search][INFO][generic_smbo.py:310] Iter 24, objectives: [4033484.0].
[2024-08-22 09:33:12,285][basic_search][INFO][generic_smbo.py:310] Iter 25, objectives: [3978460.0].
[2024-08-22 09:33:12,322][basic_search][INFO][generic_smbo.py:310] Iter 26, objectives: [3357889.0].
[2024-08-22 09:33:12,378][basic_search][INFO][generic_smbo.py:310] Iter 27, objectives: [3879502.0].
[2024-08-22 09:33:12,455][basic_search][INFO][generic_smbo.py:310] Iter 28, objectives: [3991510.0].
[2024-08-22 09:33:12,496][basic_search][INFO][generic_smbo.py:310] Iter 29, objectives: [3731139.0].
[2024-08-22 09:33:12,535][basic_search][INFO][generic_smbo.py:310] Iter 30, objectives: [3531759.0].
[2024-08-22 09:33:12,575][basic_search][INFO][generic_smbo.py:310] Iter 31, objectives: [3694648.0].
[2024-08-22 09:33:12,618][basic_search][INFO][generic_smbo.py:310] Iter 32, objectives: [3831087.0].
[2024-08-22 09:33:12,663][basic_search][INFO][generic_smbo.py:310] Iter 33, objectives: [4010514.0].
[2024-08-22 09:33:12,703][basic_search][INFO][generic_smbo.py:310] Iter 34, objectives: [3614425.0].
[2024-08-22 09:33:12,747][basic_search][INFO][generic_smbo.py:310] Iter 35, objectives: [3883533.0].
[2024-08-22 09:33:12,793][basic_search][INFO][generic_smbo.py:310] Iter 36, objectives: [4131205.0].
[2024-08-22 09:33:12,878][basic_search][INFO][generic_smbo.py:310] Iter 37, objectives: [4163516.0].
[2024-08-22 09:33:12,924][basic_search][INFO][generic_smbo.py:310] Iter 38, objectives: [4019063.0].
[2024-08-22 09:33:12,968][basic_search][INFO][generic_smbo.py:310] Iter 39, objectives: [3732027.0].
[2024-08-22 09:33:13,010][basic_search][INFO][generic_smbo.py:310] Iter 40, objectives: [3769578.0].
[2024-08-22 09:33:13,057][basic_search][INFO][generic_smbo.py:310] Iter 41, objectives: [4134519.0].
[2024-08-22 09:33:13,104][basic_search][INFO][generic_smbo.py:310] Iter 42, objectives: [4011052.0].
[2024-08-22 09:33:13,154][basic_search][INFO][generic_smbo.py:310] Iter 43, objectives: [4195985.0].
[2024-08-22 09:33:13,201][basic_search][INFO][generic_smbo.py:310] Iter 44, objectives: [4098900.0].
[2024-08-22 09:33:13,252][basic_search][INFO][generic_smbo.py:310] Iter 45, objectives: [4245681.0].
[2024-08-22 09:33:13,299][basic_search][INFO][generic_smbo.py:310] Iter 46, objectives: [4023562.0].
[2024-08-22 09:33:13,348][basic_search][INFO][generic_smbo.py:310] Iter 47, objectives: [4082257.0].
[2024-08-22 09:33:13,411][basic_search][INFO][generic_smbo.py:310] Iter 48, objectives: [3944969.0].
[2024-08-22 09:33:13,460][basic_search][INFO][generic_smbo.py:310] Iter 49, objectives: [4153068.0].
[2024-08-22 09:33:13,503][basic_search][INFO][generic_smbo.py:310] Iter 50, objectives: [3554851.0].
[2024-08-22 09:33:13,514][basic_search][INFO][html_visualizer.py:96] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-11-066545.html
