/* 算法名称 */
tapeMotorWear(times): 10 
errorIOCount: 0 


/* 算法名称 */
Algorithm: MPSCAN

Output sequence: [72, 70, 14, 30, 38, 49, 40, 62, 59, 26, 16, 39, 82, 21, 51, 18, 58, 65, 4, 73, 34, 32, 83, 63, 90, 25, 53, 88, 57, 48, 50, 29, 85, 47, 45, 31, 74, 1, 77, 61, 19, 46, 9, 76, 7, 78, 81, 22, 43, 3, 84, 87, 11, 75, 86, 67, 17, 8, 27, 89, 42, 24, 20, 54, 28, 52, 13, 55, 41, 69, 71, 56, 79, 5, 6, 15, 33, 2, 68, 35, 64, 10, 12, 23, 66, 44, 36, 60, 80, 37, ]
/* 关键指标结构体 */
ioCount: 90 
algorithmRunningDuration(ms): 0.67 
memoryUse(ms): 0 
addressingDuration(ms): 941113 
readDuration(ms): 71972
tapeBeltWear(times): 1578480
tapeMotorWear(times): 30 
errorIOCount: 0 


/* 算法名称 */
Algorithm: Nearest

Output sequence: [72, 36, 44, 37, 80, 60, 66, 23, 12, 10, 70, 2, 68, 35, 64, 14, 30, 38, 49, 15, 79, 40, 62, 59, 26, 16, 39, 82, 21, 51, 55, 41, 69, 71, 56, 5, 6, 33, 18, 58, 13, 52, 65, 24, 28, 4, 73, 34, 32, 83, 8, 27, 89, 42, 54, 20, 17, 67, 86, 63, 90, 75, 25, 53, 88, 48, 50, 29, 85, 47, 45, 87, 31, 74, 1, 43, 3, 84, 77, 7, 78, 81, 22, 61, 19, 46, 9, 76, 11, 57, ]
/* 关键指标结构体 */
ioCount: 90 
algorithmRunningDuration(ms): 0.15 
memoryUse(ms): 0 
addressingDuration(ms): 1187565 
readDuration(ms): 71972
tapeBeltWear(times): 1833103
tapeMotorWear(times): 108 
errorIOCount: 0 


/* 算法名称 */
Algorithm: merge

Output sequence: [70, 2, 68, 35, 64, 10, 12, 23, 66, 60, 80, 37, 36, 72, 44, 11, 75, 90, 25, 53, 88, 57, 48, 50, 29, 87, 85, 47, 45, 77, 76, 7, 78, 81, 43, 3, 84, 31, 74, 1, 22, 61, 19, 46, 9, 63, 86, 67, 17, 8, 27, 89, 42, 54, 4, 73, 34, 32, 83, 20, 65, 24, 28, 52, 13, 18, 58, 41, 59, 26, 16, 39, 82, 21, 51, 55, 40, 62, 69, 71, 56, 5, 6, 15, 49, 79, 33, 14, 30, 38, ]
/* 关键指标结构体 */
ioCount: 90 
algorithmRunningDuration(ms): 2.37 
memoryUse(ms): 0 
addressingDuration(ms): 1114175 
readDuration(ms): 71972
tapeBeltWear(times): 2109645
tapeMotorWear(times): 60 
errorIOCount: 0 


/* 算法名称 */
Algorithm: partition_scan

best_scan_method=1 best_partition_size=740000

Output sequence: [72, 70, 14, 30, 38, 49, 40, 62, 59, 26, 16, 39, 82, 21, 51, 18, 58, 65, 4, 73, 34, 32, 83, 63, 90, 25, 53, 88, 57, 48, 50, 29, 85, 47, 45, 31, 74, 1, 77, 61, 19, 46, 9, 76, 7, 78, 81, 22, 43, 3, 84, 87, 11, 75, 86, 67, 17, 8, 27, 89, 42, 54, 20, 24, 28, 52, 13, 55, 41, 69, 71, 56, 5, 6, 15, 79, 33, 2, 68, 35, 64, 10, 12, 23, 66, 60, 80, 37, 44, 36, ]
/* 关键指标结构体 */
ioCount: 90 
algorithmRunningDuration(ms): 2.36 
memoryUse(ms): 0 
addressingDuration(ms): 893201 
readDuration(ms): 71972
tapeBeltWear(times): 1488506
tapeMotorWear(times): 26 
errorIOCount: 0 


